,loc_2,name,phone,location,location_0,location_1,CODE,NAME,X,Y,loc,loc_0,loc_1,scale
87,대구광역시 남구,10,10,10,10,10,27200,남구,128.582,35.8335,대구광역시 남구,대구광역시,남구,0.10344827586206896
88,대구광역시 달서구,43,43,43,43,43,27290,달서구,128.5285,35.8215,대구광역시 달서구,대구광역시,달서구,0.4827586206896552
89,대구광역시 달성군,14,14,14,14,14,27710,달성군,128.5235,35.713,대구광역시 달성군,대구광역시,달성군,0.14942528735632185
90,대구광역시 동구,22,22,22,22,22,27140,동구,128.6825,35.933499999999995,대구광역시 동구,대구광역시,동구,0.2413793103448276
91,대구광역시 북구,33,33,33,33,33,27230,북구,128.5685,35.931,대구광역시 북구,대구광역시,북구,0.367816091954023
92,대구광역시 서구,10,10,10,10,10,27170,서구,128.54899999999998,35.875,대구광역시 서구,대구광역시,서구,0.10344827586206896
93,대구광역시 수성구,41,41,41,41,41,27260,수성구,128.66,35.834,대구광역시 수성구,대구광역시,수성구,0.45977011494252873
94,대구광역시 중구,11,11,11,11,11,27110,중구,128.5945,35.867,대구광역시 중구,대구광역시,중구,0.11494252873563218
95,대전광역시 대덕구,13,13,13,13,13,30230,대덕구,127.4465,36.409,대전광역시 대덕구,대전광역시,대덕구,0.13793103448275862
96,대전광역시 동구,13,13,13,13,13,30110,동구,127.487,36.317,대전광역시 동구,대전광역시,동구,0.13793103448275862
97,대전광역시 서구,35,35,35,35,35,30170,서구,127.342,36.2775,대전광역시 서구,대전광역시,서구,0.39080459770114945
98,대전광역시 유성구,36,36,36,36,36,30200,유성구,127.3335,36.382000000000005,대전광역시 유성구,대전광역시,유성구,0.40229885057471265
99,대전광역시 중구,15,15,15,15,15,30140,중구,127.413,36.2785,대전광역시 중구,대전광역시,중구,0.16091954022988506
100,부산광역시 강서구,10,10,10,10,10,26440,강서구,128.91250000000002,35.0595,부산광역시 강서구,부산광역시,강서구,0.10344827586206896
101,부산광역시 금정구,21,21,21,21,21,26410,금정구,129.091,35.257999999999996,부산광역시 금정구,부산광역시,금정구,0.22988505747126436
102,부산광역시 기장군,10,10,10,10,10,26710,기장군,129.2075,35.286,부산광역시 기장군,부산광역시,기장군,0.10344827586206896
103,부산광역시 남구,17,17,17,17,17,26290,남구,129.0955,35.129000000000005,부산광역시 남구,부산광역시,남구,0.1839080459770115
104,부산광역시 동구,5,5,5,5,5,26170,동구,129.04500000000002,35.128,부산광역시 동구,부산광역시,동구,0.04597701149425287
105,부산광역시 동래구,28,28,28,28,28,26260,동래구,129.08,35.205,부산광역시 동래구,부산광역시,동래구,0.3103448275862069
106,부산광역시 부산진구,30,30,30,30,30,26230,부산진구,129.047,35.167500000000004,부산광역시 부산진구,부산광역시,부산진구,0.3333333333333333
107,부산광역시 북구,19,19,19,19,19,26320,북구,129.0245,35.2325,부산광역시 북구,부산광역시,북구,0.20689655172413793
108,부산광역시 사상구,12,12,12,12,12,26530,사상구,128.98899999999998,35.159,부산광역시 사상구,부산광역시,사상구,0.12643678160919541
109,부산광역시 사하구,19,19,19,19,19,26380,사하구,128.9395,35.057,부산광역시 사하구,부산광역시,사하구,0.20689655172413793
