,Unnamed: 0,CODE,NAME,X,Y,orgNm,weight,법정동명
133,158,44710,금산군,127.4785,36.125,충청남도 금산군,702,충청남도 금산군
134,159,44760,부여군,126.874,36.2295,충청남도 부여군,2067,충청남도 부여군
135,160,44770,서천군,126.605,35.9955,충청남도 서천군,948,충청남도 서천군
136,161,44790,청양군,126.851,36.4435,충청남도 청양군,575,충청남도 청양군
137,162,44800,홍성군,126.60700000000001,36.56650000000001,충청남도 홍성군,3111,충청남도 홍성군
138,163,44810,예산군,126.779,36.665,충청남도 예산군,1904,충청남도 예산군
139,164,44825,태안군,126.23899999999999,36.78100000000001,충청남도 태안군,1943,충청남도 태안군
140,167,45130,군산시,126.4505,35.7385,전라북도 군산시,7620,전라북도 군산시
141,168,45140,익산시,126.9955,36.0205,전라북도 익산시,7721,전라북도 익산시
142,169,45180,정읍시,126.916,35.61,전라북도 정읍시,3430,전라북도 정읍시
143,170,45190,남원시,127.429,35.4315,전라북도 남원시,3373,전라북도 남원시
144,171,45210,김제시,126.5015,35.773,전라북도 김제시,2304,전라북도 김제시
145,172,45710,완주군,127.0315,35.82899999999999,전라북도 완주군,1655,전라북도 완주군
146,173,45720,진안군,127.4455,35.824,전라북도 진안군,644,전라북도 진안군
147,174,45730,무주군,127.7175,35.9285,전라북도 무주군,171,전라북도 무주군
148,175,45740,장수군,127.531,35.6535,전라북도 장수군,568,전라북도 장수군
149,176,45750,임실군,127.2595,35.619,전라북도 임실군,405,전라북도 임실군
150,177,45770,순창군,127.087,35.428000000000004,전라북도 순창군,424,전라북도 순창군
151,178,45790,고창군,126.6015,35.4385,전라북도 고창군,1196,전라북도 고창군
152,179,45800,부안군,126.2825,35.595,전라북도 부안군,1356,전라북도 부안군
153,180,46110,목포시,126.3625,34.763000000000005,전라남도 목포시,8617,전라남도 목포시
154,181,46130,여수시,127.3155,34.0275,전라남도 여수시,4260,전라남도 여수시
155,182,46150,순천시,127.3845,35.010000000000005,전라남도 순천시,6049,전라남도 순천시
156,183,46170,나주시,126.706,34.9915,전라남도 나주시,2785,전라남도 나주시
157,184,46230,광양시,127.64299999999999,34.8985,전라남도 광양시,2541,전라남도 광양시
158,185,46710,담양군,126.986,35.2915,전라남도 담양군,1155,전라남도 담양군
159,186,46720,곡성군,127.2465,35.203,전라남도 곡성군,812,전라남도 곡성군
160,187,46730,구례군,127.496,35.23000000000001,전라남도 구례군,936,전라남도 구례군
161,188,46770,고흥군,127.319,34.32,전라남도 고흥군,1521,전라남도 고흥군
162,189,46780,보성군,127.42299999999999,34.7825,전라남도 보성군,890,전라남도 보성군
163,190,46790,화순군,127.0125,35.019,전라남도 화순군,2371,전라남도 화순군
164,191,46800,장흥군,126.9635,34.459,전라남도 장흥군,710,전라남도 장흥군
165,192,46810,강진군,126.7815,34.533500000000004,전라남도 강진군,370,전라남도 강진군
166,193,46820,해남군,126.495,34.5275,전라남도 해남군,940,전라남도 해남군
167,194,46830,영암군,126.44,34.7295,전라남도 영암군,1635,전라남도 영암군
168,195,46840,무안군,126.318,35.010000000000005,전라남도 무안군,2504,전라남도 무안군
